
Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
ARI,1465.0,719,162,743,4.56,4.82,0.42,-0.01,101.4,4.46,-14,-0.5,1.20,-0.9,11.7,119,.499,.500,$67385200
ATL,1450.2,737,162,743,4.61,4.80,0.19,0.00,102.3,4.71,20,3.1,1.15,-1.5,14.6,152,.504,.502,$64441667
CHC,1442.0,738,162,717,4.48,4.83,-0.02,0.01,101.0,4.91,72,7.7,1.17,-1.4,19.2,204,.510,.503,$144433500
CIN,1438.0,697,162,711,4.45,4.87,0.22,0.01,102.1,4.75,52,6.1,1.22,-1.5,17.4,182,.509,.502,$49726785
COL,1448.2,752,162,958,5.95,4.95,-0.08,-0.01,116.9,5.86,-11,0.0,1.04,-1.3,11.6,121,.500,.501,$75201500
LAD,1445.2,707,162,613,3.82,4.68,0.47,0.01,95.4,4.02,37,4.3,1.09,-1.1,16.2,168,.506,.501,$120163333
MIA,1444.1,701,162,808,5.03,4.85,-0.06,0.01,96.1,4.72,-48,-4.3,1.05,-1.4,7.2,84,.494,.499,$31866500
MIL,1459.1,750,162,766,4.72,4.85,0.28,-0.03,100.5,4.56,-23,-1.2,1.21,-0.3,11.7,110,.498,.500,$38051100
NYM,1461.0,664,162,737,4.54,4.73,-0.44,0.03,92.4,4.80,46,5.6,1.16,-1.0,17.7,179,.509,.502,$47303466
PHI,1453.2,726,162,794,4.92,4.79,0.23,0.00,102.3,4.66,-39,-3.5,1.11,-0.5,9.0,93,.495,.500,$77883500
PIT,1440.0,712,162,911,5.69,4.74,-0.41,-0.02,97.7,5.01,-106,-9.6,.99,0.1,3.4,25,.486,.500,$24293667
SDP,1432.0,705,162,789,4.96,4.85,0.20,-0.02,97.0,4.48,-73,-6.6,1.19,-0.3,6.0,57,.491,.499,$26913700
SFG,1469.0,749,162,773,4.74,4.87,0.22,-0.01,95.8,4.43,-46,-3.9,1.25,0.0,9.3,88,.495,.500,$93599583
STL,1444.0,704,162,662,4.13,4.78,0.29,0.00,97.3,4.37,43,4.8,1.16,-1.2,16.6,174,.507,.502,$63155100
WSN,1439.1,692,162,724,4.53,4.78,-0.06,0.03,103.4,5.03,90,10.8,1.11,-0.6,23.1,220,.515,.503,$128150099
,21732.2,10753,2430,11449,4.74,4.81,0.10,0.00,100.1,4.72,0,12.9,1.14,-12.9,194.7,1975,.501,.501,$1052568700
