Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs▼,Rdrs/yr
LAD,45,3.78,.710,162,1458,977,13011.0,5871,4337,1428,106,117,.982,55,5,88,8
ARI,44,4.59,.692,162,1458,1005,13185.0,6042,4395,1561,86,136,.986,53,5,73,7
STL,42,4.09,.706,162,1458,1051,12996.0,5976,4332,1578,66,168,.989,44,4,66,6
PHI,53,4.90,.687,162,1458,1122,13083.0,6010,4361,1552,97,136,.984,8,1,47,4
CIN,47,4.39,.699,162,1458,972,12942.0,5865,4314,1460,91,124,.984,6,1,45,4
ATL,50,4.59,.685,162,1458,1127,13056.0,5952,4352,1522,78,154,.987,5,0,38,3
MIL,49,4.73,.691,162,1458,1013,13134.0,5870,4378,1395,97,135,.983,0,0,35,3
SFG,63,4.77,.699,162,1458,1079,13221.0,6036,4408,1538,90,142,.985,18,2,35,3
SDP,54,4.87,.680,162,1458,1041,12888.0,5798,4296,1386,116,100,.980,-36,-3,27,2
MIA,50,4.99,.703,162,1458,1058,12999.0,5791,4333,1364,94,135,.984,-20,-2,-2,0
WSN,50,4.47,.689,162,1458,1171,12954.0,5779,4318,1374,87,111,.985,1,0,-6,-1
CHC,52,4.43,.681,162,1458,969,12978.0,6063,4326,1619,118,141,.981,9,1,-7,-1
COL,50,5.91,.677,162,1458,1112,13038.0,6201,4346,1758,97,165,.984,2,0,-7,-1
PIT,54,5.62,.666,162,1458,1068,12960.0,5934,4320,1493,121,130,.980,-61,-6,-49,-5
NYM,52,4.55,.679,162,1458,933,13149.0,5917,4383,1435,99,129,.983,-44,-4,-91,-8
LgAvg,48,4.71,.689,162,1458,1047,13040,5940,4347,1498,96,135,.984,3,0,,
,720,4.71,.689,2430,21870,15698,195594.0,89105,65199,22463,1443,2023,.984,41,0,,
