mlb_id,Season,Name,ERA,RA,IP,HR,brls,GB%,HR/FB,WAR,FIP,xFIP,SIERA,rFIP,nFIP,xnFIP,nFIPwo,xnFIPwo,rnFIP,rnFIPwo,rxnFIP,rxnFIPwo
458681,2019.0,Lance Lynn,3.7698113207547177,3.973584905660378,176.66666666666663,15.0,24,0.415,0.085,6.0,3.0018430258979785,3.89,3.92,3.3687980950328615,2.9218768924655176,3.09917617555572,3.2126004060397895,3.389899689129992,3.279710249024747,3.6035965055750605,3.4570095321149497,3.780895788665263
453286,2019.0,Max Scherzer,2.4602803738317762,2.6495327102803747,142.66666666666663,12.0,22,0.42,0.094,5.8,2.2216102627168817,2.91,2.94,2.5885653318517647,2.0757583425616106,2.4364777390600296,2.379798787681106,2.740518184179525,2.426076127421806,2.7647983738578055,2.786795523920225,3.1255177703562245
543037,2019.0,Gerrit Cole,2.80718336483932,3.113421550094518,176.33333333333331,26.0,24,0.401,0.17800000000000002,5.6,2.8823437927417923,2.62,2.77,3.2492988618766754,2.760930414518932,2.127600773758643,2.6347575502629423,2.0014279095026533,3.1140358964417065,2.973470531846031,2.4807062556814174,2.340140891085742
594798,2019.0,Jacob deGrom,2.6627218934911245,2.8757396449704142,169.0,17.0,22,0.424,0.115,5.6,2.7731503832720996,3.21,3.35,3.1401054524069827,2.4288093685427494,2.3487066105571937,2.59672825157382,2.5166254935882644,2.7564855626145697,2.9435589016795536,2.676382804629014,2.863456143693998
450203,2019.0,Charlie Morton,3.0645792563600787,3.3287671232876717,170.33333333333331,13.0,21,0.473,0.098,5.4,2.7942367784364714,3.35,3.59,3.1611918475713545,2.4684552311409207,2.6389005198553654,2.8178950660169058,2.9883403547313505,2.798248498031214,3.187548828837199,2.968693786745659,3.3579941175516437
434378,2019.0,Justin Verlander,2.5647668393782386,2.6580310880829017,193.0,33.0,36,0.34600000000000003,0.161,5.2,3.4138285572304645,3.31,2.99,3.7807836263653476,2.975210356086294,2.5113984908992664,2.6851393800196783,2.221327514832651,3.29213238011132,2.9689730958241554,2.8283205149242923,2.505161230637128
544931,2019.0,Stephen Strasburg,3.4692737430167595,3.569832402234637,179.0,20.0,27,0.501,0.15,5.0,3.138725075017827,3.17,3.44,3.50568014415271,2.692820406420992,2.6627267333158398,2.824396509805536,2.7943028367003837,3.0089112653147043,3.155496214886765,2.978817592209552,3.1254025417816127
669456,2019.0,Shane Bieber,3.2697247706422026,3.566972477064221,181.66666666666663,26.0,37,0.45,0.166,4.8,3.305010760016033,3.17,3.3,3.671965829150916,3.454217402941629,3.5142968327121844,3.48194369729923,3.5420231270697857,3.8381924285596507,3.8690814529013347,3.8982718583302063,3.9291608826718902
608337,2019.0,Lucas Giolito,3.2993890020366607,3.4093686354378825,163.66666666666663,21.0,36,0.361,0.129,4.7,3.400236754522657,3.72,3.64,3.76719182365754,3.165421361517519,3.571639141673753,3.1533784987846074,3.559596278940842,3.505591110024877,3.4921745215943183,3.9118088901811117,3.898392301750553
621111,2019.0,Walker Buehler,3.2761506276150634,3.897489539748954,159.33333333333331,18.0,24,0.425,0.124,4.5,2.9596151897884027,3.31,3.41,3.3265702589232857,2.8504521071499673,2.802269303881782,3.1098130688636627,3.0616302655954772,3.204954976572817,3.4939011644884954,3.1567721733046312,3.44571836122031
571578,2019.0,Patrick Corbin,3.194656488549619,3.4522900763358786,174.66666666666663,19.0,41,0.485,0.128,4.4,3.308540418955735,3.6,3.82,3.675495488090618,3.2046396798151897,4.004076179620382,3.2921393256577467,4.091575825462939,3.5597428231640342,3.6572235270568894,4.359179322969226,4.456660026862082
501985,2019.0,Mike Minor,3.1211009174311934,3.2697247706422026,181.66666666666663,22.0,34,0.405,0.114,4.3,3.8829924113921797,4.43,4.38,4.249947480527063,3.418848482721133,3.6094396968866866,3.4762431140135703,3.6668343281791245,3.7328587947527154,3.796800414220809,3.923450008918269,3.9873916283863626
425844,2019.0,Zack Greinke,2.9943609022556394,3.24812030075188,177.33333333333331,19.0,31,0.44299999999999995,0.11199999999999999,4.3,3.386110297851447,3.9,4.07,3.7530653669863305,2.840538610738344,3.0961798404667293,3.0624704357627666,3.3181116654911516,3.1452604830729456,3.392508004034733,3.4009017128013306,3.648149233763118
592789,2019.0,Noah Syndergaard,3.9705882352941178,4.341176470588235,170.0,18.0,22,0.489,0.11599999999999999,4.1,3.4463491302265026,3.89,4.04,3.8133041993613856,2.9539199942747274,2.79781784074791,3.1591774563078445,3.0030753027810273,3.2647038212946833,3.49337493973843,3.108601667767866,3.3372727862116127
547943,2019.0,Hyun-Jin Ryu,2.3453389830508478,2.688559322033899,157.33333333333331,15.0,23,0.501,0.127,4.0,3.1724458400968913,3.43,3.85,3.5394009092317744,2.774762685218871,2.9139115429933735,3.0865132525741314,3.225662110348634,3.0963541575501137,3.443666017525747,3.2355030153246163,3.5828148753002496
621244,2019.0,Jose Berrios,3.5680473372781067,4.207100591715976,169.0,22.0,32,0.41600000000000004,0.11699999999999999,3.8,3.867824939485117,4.4,4.31,4.2347800086200005,3.72412119728253,3.8173983045482958,3.7850576103754108,3.878334717641176,4.074684024149943,4.142571435393735,4.167961131415709,4.235848542659499
647336,2019.0,Mike Soroka,2.5349344978165944,2.770742358078603,152.66666666666663,10.0,21,0.527,0.095,3.7,3.3348412956516245,3.86,4.29,3.7017963647865075,2.7889546462064865,3.2345824683311184,3.1915338848176025,3.6371617069422344,3.093640590883446,3.542141921083964,3.539268413008078,3.987769743208596
543243,2019.0,Sonny Gray,2.7951541850220267,2.9735682819383262,151.33333333333331,15.0,26,0.516,0.129,3.7,3.474646616621942,3.72,4.05,3.841601685756825,3.0165035827911795,3.348110054981248,3.1006230016629504,3.432229473853019,3.331198415076277,3.4249133105334866,3.6628048872663457,3.7565197827235552
519242,2019.0,Chris Sale,4.398190045248869,4.886877828054299,147.33333333333331,24.0,28,0.428,0.195,3.6,3.393407953755914,2.94,3.01,3.760363022890797,3.788591823566346,3.4630942143147063,3.7455233077946177,3.420025698542978,4.200625396815595,4.152644068518531,3.875127787563955,3.827146459266891
622491,2019.0,Luis Castillo,3.253012048192771,3.4698795180722892,166.0,20.0,23,0.556,0.187,3.5,3.71693736552062,3.44,3.88,4.083892434655503,3.1749499294912558,2.9152677224020294,3.115227759745706,2.8555455526564795,3.4800806562593714,3.4135459967330903,3.220398449170145,3.153863789643864
594835,2019.0,Marco Gonzales,4.296660117878194,5.092337917485266,169.66666666666663,18.0,30,0.39899999999999997,0.087,3.5,3.9713577977406596,5.04,4.98,4.338312866875543,3.7725870300401203,4.060820379838272,4.090628828099698,4.378862177897849,4.116868378018564,4.47118910747594,4.4051017278167155,4.759422457274091
608566,2019.0,German Marquez,4.758620689655173,4.9655172413793105,174.0,29.0,40,0.49,0.201,3.5,4.0617649517275165,3.55,3.86,4.4287200208624,4.308703286982566,4.309880234740572,4.3712691370271415,4.372446084785147,4.703826537088826,4.7735292546629555,4.705003484846832,4.77470620242096
554430,2019.0,Zack Wheeler,4.40702479338843,4.741735537190083,161.33333333333331,20.0,30,0.447,0.12300000000000001,3.5,3.7004084399007855,4.09,4.28,4.067363509035669,3.7654869374247255,3.907451348679393,3.919585398872233,4.061549810126901,4.139865491024693,4.311541917209757,4.281829902279361,4.4535063284644245
543606,2019.0,Jake Odorizzi,3.6126760563380285,3.8028169014084505,142.0,16.0,31,0.35100000000000003,0.096,3.4,3.660599337351606,4.54,4.33,4.027554406486489,3.468995875657732,4.062895251750457,3.7028763875592916,4.2967757636520165,3.814094796057503,4.074653986982783,4.407994172150228,4.6685533630755085
477132,2019.0,Clayton Kershaw,2.9612903225806453,3.135483870967742,155.0,23.0,28,0.48200000000000004,0.17300000000000001,3.3,3.69435672035933,3.48,3.7,4.061311789494213,3.486290566329354,3.26076380656758,3.3847359550794804,3.1592091953177066,3.829511592409798,3.7163726774704644,3.6039848326480244,3.4908459177086906
605182,2019.0,Mike Clevinger,2.7209302325581395,2.7209302325581395,86.0,6.0,8,0.446,0.107,3.3,2.2401931794741086,2.63,3.1,2.6071482486089916,2.014271890735084,1.9845155858743695,2.2768282723598814,2.247071967499167,2.3554561870172432,2.647962295423663,2.325699882156529,2.6182059905629487
500779,2019.0,Jose Quintana,3.8993435448577687,4.312910284463896,152.33333333333331,17.0,27,0.43700000000000006,0.11599999999999999,3.3,3.6961496193499417,4.17,4.46,4.063104688484825,3.634164298821068,3.854820092130769,3.899938609074745,4.120594402384446,3.9940487212520974,4.290139826429642,4.214704514561799,4.510795619739343
605400,2019.0,Aaron Nola,3.4522900763358786,3.6583969465648862,174.66666666666663,22.0,28,0.498,0.16399999999999998,3.2,3.903960266283979,3.8,4.08,4.270915335418862,3.6257155330409803,3.5000095343974214,3.7646844253369265,3.6389784266933676,3.9609313098856394,4.115752341556952,3.8352253112420804,3.990046342913393
573186,2019.0,Marcus Stroman,3.2814498933901923,3.8571428571428577,156.33333333333331,16.0,21,0.542,0.13,3.2,3.8246132717039893,4.07,4.48,4.191568340838872,3.3496589751067285,3.2859010700599938,3.6037601510040203,3.5400022459572855,3.662436151749275,3.9455225716765057,3.5986782467025398,3.881764666629771
605540,2019.0,Brandon Woodruff,3.7478753541076486,3.7478753541076486,117.66666666666667,12.0,13,0.436,0.12,3.1,3.0979571955489487,3.47,3.68,3.4649122646838317,2.991000142287506,2.7070756923927344,3.202352613077042,2.9184281631822704,3.34575465281199,3.5812160358115253,3.0618302029172186,3.2972915859167538
543294,2019.0,Kyle Hendricks,3.3896103896103895,3.7987012987012987,154.0,19.0,29,0.40399999999999997,0.115,3.1,3.84680749539075,4.38,4.41,4.213762564525633,3.424456143340361,3.596361805416156,3.6508930623244362,3.822798724400231,3.74323372190549,3.9955002315278776,3.915139383981284,4.167405893603672
518516,2019.0,Madison Bumgarner,3.6169811320754723,4.075471698113208,176.66666666666663,24.0,40,0.364,0.124,3.1,3.726371327784771,4.15,4.04,4.093326396919654,3.6140809496366204,3.983164660447335,3.668944749569047,4.038028460379762,3.9682270894096265,4.029349186352429,4.337310800220341,4.3984328971631435
656427,2019.0,Jack Flaherty,3.308533916849016,3.426695842450766,152.33333333333331,23.0,30,0.377,0.154,3.1,3.8865216105972067,3.88,3.87,4.25347667973209,3.6970776243224384,3.5914119242070317,3.7129297939732435,3.607264093857837,4.042422875427994,4.060083297260672,3.9367571753125876,3.954417597145264
545333,2019.0,Trevor Bauer,4.532142857142858,5.110714285714287,186.66666666666663,28.0,44,0.37799999999999995,0.146,3.0,4.283008794092049,4.39,4.22,4.649963863226932,4.355673491879566,4.628487426527149,4.42692181376989,4.699735748417473,4.730917401041637,4.810292997390342,5.003731335689221,5.083106932037926
489446,2019.0,Kirby Yates,1.2934131736526944,2.263473053892215,55.66666666666668,2.0,5,0.48700000000000004,0.054000000000000006,3.0,1.3486738924667283,2.21,2.08,1.7156289616016114,1.1657432718988345,1.545694145199492,1.6580454376501548,2.0379963109508124,1.5118315006541523,2.0602904250681617,1.8917823739548099,2.4402412983688193
521230,2019.0,Liam Hendriks,1.7663551401869164,1.7663551401869164,71.33333333333331,4.0,10,0.293,0.051,3.0,1.9973111972963207,3.48,2.8,2.364266266431204,1.5570655471411288,2.1500729849094453,1.9879463762307512,2.5809538139990673,1.8738019285513017,2.353833203068353,2.466809366319618,2.94684064083667
